Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
1,1,FRA,,comelite,,2285,W60B,W52W,W49B,W7W,W6B,5,14
1,2,FRA,,blusky6,Arnaud Ptr,2206,W62W,W58B,W26W,W20B,W5W,5,14
3,50,FRA,,Guillaume_Yvon,,1593,W85W,W9B,W18W,D16B,W17W,4.5,13.75
4,15,FRA,,FlagUASAP,,1998,W59B,W44W,D17W,W22B,W16W,4.5,13.25
5,20,FRA,,Hellboy377,Benjamin Gourio,1951,W40W,W67B,W12B,W13W,L2B,4,13
5,5,FRA,CM,jmpion,Jean Meunier-Pion,2167,W42B,W15W,W102B,W11W,L1W,4,13
7,10,FRA,,camillekaze57,,1943,W64W,W30B,W29W,L1B,W36W,4,11
7,22,FRA,,Rislonely,Naruto Uchiwa,1784,L77W,W25B,W41W,W66B,W24W,4,11
9,21,FRA,,Lattesechecsplayer,,1930,W68B,L3W,W23B,W72W,W30B,4,10
9,99,FRA,,Lonas_mithe,,1786,W41W,U--,W65W,W56B,W33W,4,10
9,19,FRA,,Tomyys,,1889,W51B,W55W,W22W,L6B,W27B,4,10
12,8,FRA,,supergenial,Édouard MB,2008,W70W,W65B,L5W,W71B,W37W,4,9
12,4,FRA,,letton72,,2103,W96W,W37B,W31W,L5B,W29W,4,9
12,35,FRA,,Valoulouloulou,,1633,W87B,L16B,W38W,W49W,W31B,4,9
15,31,FRA,,nonrienderien,,1850,W95B,L6B,W64W,W46B,W20W,4,7.5
16,9,FRA,,mallse,,1985,W61B,W14W,W35B,D3W,L4B,3.5,11.25
17,3,FRA,,tampi2002,,2117,W56B,W36W,D4B,W19W,L3B,3.5,10.75
18,11,FRA,,jgame67,Jerome Genz',2135,W28B,D45W,L3B,W50B,W32W,3.5,9.25
19,34,FRA,,adpkh,,2103,W46W,W50W,D47B,L17B,W45W,3.5,8.25
20,12,MAR,,omarbennani8,Omar Bennani,2032,W43W,W34B,W66B,L2W,L15B,3,8
21,30,FRA,,Vin100D,,1530,L78W,W68B,W43W,L33B,W64W,3,7
