Equipe,Score final
ECAM LaSalle,28.5
Centrale Supélec 1,27.5
UTC 1,26
Polytechnique,24
Toulouse INP - Enseeiht 1,22.5
ENSIIE 1,22
EFREI 1,22
EPITA,21.5
Polytechnique Bachelors,20.5
ENSIIE 2,20.5
ENGEES 1,20.5
Grenoble INP - Esisar 1,20
ENSSAT 1,20
INSA Strabourg,19
ENSIIE 3,19
Mines Alès 1,19
UTC 2,17.5
Toulouse INP - Enseeiht 3,17
ESAIP,17
ENSICAEN 2,16
Télécom Physique Strasbourg,15
Polytech Paris-Saclay 1,15
EFREI 2,14.5
ENIB,14
Toulouse INP - Enseeiht 2,13.5
EFREI 3,13
ENSSAT 2,13
ENSICAEN 1,12.5
ENSIIE 4,12.5
ESITC Paris,12
Mines Alès 2,12
ENGEES 2,11
Centrale Supélec 2,9.5
ENSIIE 5,6.5
Grenoble INP - Esisar 2,2.5
