Equipe,Tournoi 3
Toulouse INP - Enseeiht 1,25
EFREI 1,24
Polytechnique,23.5
ENSIIE 1,23
UTC 1,22
Centrale Nantes,21.5
Grenoble INP - Esisar 1,21
ENSSAT 1,18.5
ENSIIE 2,17.5
Toulouse INP - Enseeiht 2,16.5
INSA Strabourg,16
Toulouse INP - Enseeiht 3,14.5
ENIB,14
EFREI 2,13.5
ENGEES 1,13
UTC 2,13
ENSICAEN 1,13
EPITA,10
Toulouse INP - ENSIACET,10
ESAIP,9.5
ENSICAEN 2,9.5
ENSIIE 3,9
ESITC Paris,9
ISAE Supaéro,9
Mines Alès 2,8
Télécom Physique Strasbourg,7
EFREI 3,7
Polytech Paris-Saclay 1,4.5
Grenoble INP - Esisar 2,3
ENGEES 2,2.5
